ref,footprint,x_mm,y_mm,rotation,layer
LED001,LED_APA-102-2020-256-8:APA102_5050,0.0,0.0,0.0,F.Cu
LED002,LED_APA-102-2020-256-8:APA102_5050,20.0,0.0,0.0,F.Cu
LED003,LED_APA-102-2020-256-8:APA102_5050,40.0,0.0,0.0,F.Cu
LED004,LED_APA-102-2020-256-8:APA102_5050,60.0,0.0,0.0,F.Cu
LED005,LED_APA-102-2020-256-8:APA102_5050,80.0,0.0,0.0,F.Cu
LED006,LED_APA-102-2020-256-8:APA102_5050,100.0,0.0,0.0,F.Cu
LED007,LED_APA-102-2020-256-8:APA102_5050,120.0,0.0,0.0,F.Cu
LED008,LED_APA-102-2020-256-8:APA102_5050,140.0,0.0,0.0,F.Cu
LED009,LED_APA-102-2020-256-8:APA102_5050,160.0,0.0,0.0,F.Cu
LED010,LED_APA-102-2020-256-8:APA102_5050,180.0,0.0,0.0,F.Cu
LED011,LED_APA-102-2020-256-8:APA102_5050,200.0,0.0,0.0,F.Cu
LED012,LED_APA-102-2020-256-8:APA102_5050,220.0,0.0,0.0,F.Cu
LED013,LED_APA-102-2020-256-8:APA102_5050,240.0,0.0,0.0,F.Cu
LED014,LED_APA-102-2020-256-8:APA102_5050,260.0,0.0,0.0,F.Cu
LED015,LED_APA-102-2020-256-8:APA102_5050,280.0,0.0,0.0,F.Cu
LED016,LED_APA-102-2020-256-8:APA102_5050,300.0,0.0,0.0,F.Cu
LED017,LED_APA-102-2020-256-8:APA102_5050,0.0,20.0,0.0,F.Cu
LED018,LED_APA-102-2020-256-8:APA102_5050,20.0,20.0,0.0,F.Cu
LED019,LED_APA-102-2020-256-8:APA102_5050,40.0,20.0,0.0,F.Cu
LED020,LED_APA-102-2020-256-8:APA102_5050,60.0,20.0,0.0,F.Cu
LED021,LED_APA-102-2020-256-8:APA102_5050,80.0,20.0,0.0,F.Cu
LED022,LED_APA-102-2020-256-8:APA102_5050,100.0,20.0,0.0,F.Cu
LED023,LED_APA-102-2020-256-8:APA102_5050,120.0,20.0,0.0,F.Cu
LED024,LED_APA-102-2020-256-8:APA102_5050,140.0,20.0,0.0,F.Cu
