ref,footprint,x_mm,y_mm,rotation,layer
LED1,LED_APA-102-2020-256-8:APA102_5050,-2.0,-2.0,0.0,F.Cu
LED2,LED_APA-102-2020-256-8:APA102_5050,2.0,-2.0,0.0,F.Cu
LED3,LED_APA-102-2020-256-8:APA102_5050,-2.0,2.0,0.0,F.Cu
LED4,LED_APA-102-2020-256-8:APA102_5050,2.0,2.0,0.0,F.Cu
LED5,LED_APA-102-2020-256-8:APA102_5050,24.0,-2.0,0.0,F.Cu
LED6,LED_APA-102-2020-256-8:APA102_5050,28.0,-2.0,0.0,F.Cu
LED7,LED_APA-102-2020-256-8:APA102_5050,24.0,2.0,0.0,F.Cu
LED8,LED_APA-102-2020-256-8:APA102_5050,28.0,2.0,0.0,F.Cu
LED9,LED_APA-102-2020-256-8:APA102_5050,50.0,-2.0,0.0,F.Cu
LED10,LED_APA-102-2020-256-8:APA102_5050,54.0,-2.0,0.0,F.Cu
LED11,LED_APA-102-2020-256-8:APA102_5050,50.0,2.0,0.0,F.Cu
LED12,LED_APA-102-2020-256-8:APA102_5050,54.0,2.0,0.0,F.Cu
LED13,LED_APA-102-2020-256-8:APA102_5050,76.0,-2.0,0.0,F.Cu
LED14,LED_APA-102-2020-256-8:APA102_5050,80.0,-2.0,0.0,F.Cu
LED15,LED_APA-102-2020-256-8:APA102_5050,76.0,2.0,0.0,F.Cu
LED16,LED_APA-102-2020-256-8:APA102_5050,80.0,2.0,0.0,F.Cu
LED17,LED_APA-102-2020-256-8:APA102_5050,102.0,-2.0,0.0,F.Cu
LED18,LED_APA-102-2020-256-8:APA102_5050,106.0,-2.0,0.0,F.Cu
LED19,LED_APA-102-2020-256-8:APA102_5050,102.0,2.0,0.0,F.Cu
LED20,LED_APA-102-2020-256-8:APA102_5050,106.0,2.0,0.0,F.Cu
LED21,LED_APA-102-2020-256-8:APA102_5050,128.0,-2.0,0.0,F.Cu
LED22,LED_APA-102-2020-256-8:APA102_5050,132.0,-2.0,0.0,F.Cu
LED23,LED_APA-102-2020-256-8:APA102_5050,128.0,2.0,0.0,F.Cu
LED24,LED_APA-102-2020-256-8:APA102_5050,132.0,2.0,0.0,F.Cu
LED25,LED_APA-102-2020-256-8:APA102_5050,154.0,-2.0,0.0,F.Cu
LED26,LED_APA-102-2020-256-8:APA102_5050,158.0,-2.0,0.0,F.Cu
LED27,LED_APA-102-2020-256-8:APA102_5050,154.0,2.0,0.0,F.Cu
LED28,LED_APA-102-2020-256-8:APA102_5050,158.0,2.0,0.0,F.Cu
LED29,LED_APA-102-2020-256-8:APA102_5050,180.0,-2.0,0.0,F.Cu
LED30,LED_APA-102-2020-256-8:APA102_5050,184.0,-2.0,0.0,F.Cu
LED31,LED_APA-102-2020-256-8:APA102_5050,180.0,2.0,0.0,F.Cu
LED32,LED_APA-102-2020-256-8:APA102_5050,184.0,2.0,0.0,F.Cu
LED33,LED_APA-102-2020-256-8:APA102_5050,-2.0,24.0,0.0,F.Cu
LED34,LED_APA-102-2020-256-8:APA102_5050,2.0,24.0,0.0,F.Cu
LED35,LED_APA-102-2020-256-8:APA102_5050,-2.0,28.0,0.0,F.Cu
LED36,LED_APA-102-2020-256-8:APA102_5050,2.0,28.0,0.0,F.Cu
LED37,LED_APA-102-2020-256-8:APA102_5050,24.0,24.0,0.0,F.Cu
LED38,LED_APA-102-2020-256-8:APA102_5050,28.0,24.0,0.0,F.Cu
LED39,LED_APA-102-2020-256-8:APA102_5050,24.0,28.0,0.0,F.Cu
LED40,LED_APA-102-2020-256-8:APA102_5050,28.0,28.0,0.0,F.Cu
LED41,LED_APA-102-2020-256-8:APA102_5050,50.0,24.0,0.0,F.Cu
LED42,LED_APA-102-2020-256-8:APA102_5050,54.0,24.0,0.0,F.Cu
LED43,LED_APA-102-2020-256-8:APA102_5050,50.0,28.0,0.0,F.Cu
LED44,LED_APA-102-2020-256-8:APA102_5050,54.0,28.0,0.0,F.Cu
LED45,LED_APA-102-2020-256-8:APA102_5050,76.0,24.0,0.0,F.Cu
LED46,LED_APA-102-2020-256-8:APA102_5050,80.0,24.0,0.0,F.Cu
LED47,LED_APA-102-2020-256-8:APA102_5050,76.0,28.0,0.0,F.Cu
LED48,LED_APA-102-2020-256-8:APA102_5050,80.0,28.0,0.0,F.Cu
LED49,LED_APA-102-2020-256-8:APA102_5050,102.0,24.0,0.0,F.Cu
LED50,LED_APA-102-2020-256-8:APA102_5050,106.0,24.0,0.0,F.Cu
LED51,LED_APA-102-2020-256-8:APA102_5050,102.0,28.0,0.0,F.Cu
LED52,LED_APA-102-2020-256-8:APA102_5050,106.0,28.0,0.0,F.Cu
LED53,LED_APA-102-2020-256-8:APA102_5050,128.0,24.0,0.0,F.Cu
LED54,LED_APA-102-2020-256-8:APA102_5050,132.0,24.0,0.0,F.Cu
LED55,LED_APA-102-2020-256-8:APA102_5050,128.0,28.0,0.0,F.Cu
LED56,LED_APA-102-2020-256-8:APA102_5050,132.0,28.0,0.0,F.Cu
LED57,LED_APA-102-2020-256-8:APA102_5050,154.0,24.0,0.0,F.Cu
LED58,LED_APA-102-2020-256-8:APA102_5050,158.0,24.0,0.0,F.Cu
LED59,LED_APA-102-2020-256-8:APA102_5050,154.0,28.0,0.0,F.Cu
LED60,LED_APA-102-2020-256-8:APA102_5050,158.0,28.0,0.0,F.Cu
LED61,LED_APA-102-2020-256-8:APA102_5050,180.0,24.0,0.0,F.Cu
LED62,LED_APA-102-2020-256-8:APA102_5050,184.0,24.0,0.0,F.Cu
LED63,LED_APA-102-2020-256-8:APA102_5050,180.0,28.0,0.0,F.Cu
LED64,LED_APA-102-2020-256-8:APA102_5050,184.0,28.0,0.0,F.Cu
LED65,LED_APA-102-2020-256-8:APA102_5050,-2.0,50.0,0.0,F.Cu
LED66,LED_APA-102-2020-256-8:APA102_5050,2.0,50.0,0.0,F.Cu
LED67,LED_APA-102-2020-256-8:APA102_5050,-2.0,54.0,0.0,F.Cu
